"X","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Furnish","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Min.Distance","HDB.Town","lat","long","accuracy"
1561,"Jurong West Street 71","HDB Executive","$610,000","$388 psf (Built-up)",1991,"Maisonette",NA,"714 Jurong West Street 71 (640714)",NA,"4",3,"Not Furnished","HIGH","146 sqm (Built-up)","LEASEHOLD/99 years",NA,"Park/greenery View | Air Conditioning | Bathtub | Water Heater | Cooker Hob/hood | Balcony","Selvi Loe",620,"Jurong West",1.3432697,103.6967061,"street_address"
1562,"1919","Apartment","$1,380,000","$2,212 psf (Built-up)",NA,"Apartment","Aurum Land Pte Ltd","110 Sophia Road (228175)","D9 - Orchard / River Valley","1+1",1,"Partially Furnished",NA,"624 sqft (Built-up)","FREEHOLD",75,"Outdoor Dining Pavilion | Gym | Courtyard | Lap Pool | Air Conditioning | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Tricia Lim",430,NA,1.302632,103.8467747,"street_address"
1563,"Peakview Estate","Detached","$8,980,000","$1,569 psf (Land) /$1,796 psf (Built-up)",2017,"Detached",NA,"Jalan Pari Dedap","D16 - Bedok / Upper East Coast","6",7,"Partially Furnished",NA,"5,723 sqft (Land) / 5,000 sqft (Built-up)","FREEHOLD",NA,"Park/greenery View | Renovated | Swimming Pool View | Cooker Hob/hood | Air Conditioning | Water Heater | Intercom | Bathtub | Bombshelter | Balcony | Maidsroom | Roof Terrace | Walk-in-wardrobe | Private Garden","Billy Ong",580,NA,1.3323579,103.9429082,"route"
1564,"Q Bay Residences","Condominium","$1,250,000","$1,116 psf (Built-up)",2016,"Condominium","Quarry Bay Pte Ltd","7 Tampines Street 86 (528586)","D18 - Pasir Ris / Tampines","3+1",NA,NA,NA,"1,120 sqft (Built-up)","LEASEHOLD/99 years",630,"Main Pool | Main Entrance Drop Off Area | Gymnasium | Main Pavilion | Children's Play Pool | Tennis Courts | Children's Play Zone | Male & Female Changing Rooms With Steam Bath | Bay Villas | Spa Pools | Multipurpose Court | Lifestyle Pavilions With Spa Pool | Sunbathing Decks | Reflective Pools | Clubhouse | Swimming Pool View | Renovated | Air Conditioning | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Joanne Chan",1360,NA,1.3508324,103.9279658,"street_address"
1565,"Kismis Residences","Terrace","$4,155,240","$2,507 psf (Land) /$794 psf (Built-up)",2018,"Inter Terrace","Newfort Alliance (Kismis) Pte. Ltd.","Toh Tuck Terrace","D21 - Clementi Park / Upper Bukit Timah","5",6,"Not Furnished","GROUND","1,657 sqft (Land) / 5,231 sqft (Built-up)","FREEHOLD",31,"Original Condition | Air Conditioning | Intercom | Water Heater | Private Lift | Cooker Hob/hood | Balcony | Maidsroom | Roof Terrace | Terrace","Roland Tay",890,NA,1.3382078,103.7688397,"route"
1566,"Pasir Ris Drive 6","HDB 4 Rooms","$438,000","$388 psf (Built-up)",NA,"Model A",NA,"474 Pasir Ris Drive 6 (510474)",NA,"3",2,"Fully Furnished","LOW","105 sqm (Built-up)","LEASEHOLD/99 years",NA,"Air Conditioning | Cooker Hob/hood | Air Conditioning | Water Heater","Adrian Lim",840,"Pasir Ris",1.3752661,103.9569561,"premise"
1567,"Punggol Drive","HDB 4 Rooms","$475,000","$475 psf (Built-up)",2013,"Model A",NA,"619D Punggol Drive (824619)",NA,"3",2,"Partially Furnished","HIGH","93 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Park/greenery View | Renovated | Air Conditioning | Water Heater | Cooker Hob/hood","Cheryl Tan",180,"Punggol",1.40214,103.911095,"street_address"
1568,"Mera Gardens","Detached","$3,600,000","$609 psf (Land) /",1998,"Detached","MALAYAN CREDIT(BUKIT PANJANG)PTE LTD","Almond Crescent","D23 - Dairy Farm / Bukit Panjang / Choa Chu Kang","5",7,"Partially Furnished","GROUND","5,908 sqft (Land) / ","LEASEHOLD/99 years",123,"Park/greenery View | Renovated | Air Conditioning | Bathtub | Cooker Hob/hood | Private Garden","Tan Sze Kiat",350,NA,1.3732346,103.7727713,"route"
1569,"Shelford Suites","Condominium","$3,600,000","$1,306 psf (Built-up)",NA,"Condominium","City Developments Ltd","16B Shelford Road (286653)","D11 - Newton / Novena","4",4,"Partially Furnished","PENTHOUSE","2,756 sqft (Built-up)","FREEHOLD",77,"Corner Unit | Air Conditioning | Balcony | Maidsroom","Richard Tan",600,NA,1.327056,103.812886,"street_address"
1570,"Castle Green","Condominium","$970,000","$842 psf (Built-up)",1997,"Condominium","Castle Green Property Pte Ltd","487 Yio Chu Kang Road (787059)","D26 - Mandai / Upper Thomson","3",3,"Partially Furnished","MID","1,152 sqft (Built-up)","LEASEHOLD/99 years",664,"Gymnasium | Barbecue Area | Multi Purpose Hall | Fitness Area | Tennis Court | Squash Court | Club House | Wadpool | Swimming Pool | Car Park | Play Ground | Securities | Corner Unit | Air Conditioning | Cooker Hob/hood | Intercom | Bathtub | Water Heater | Flooring For Living/dining | Flooring For Bedroom | Wardrobe | Kitchen | Air-conditioning","Tracy Liu C",540,NA,1.386111,103.840413,"street_address"
1571,"Yishun Ring Road","HDB 4 Rooms","$370,000","$331 psf (Built-up)",1989,"New Generation",NA,"365 Yishun Ring Road (760365)",NA,"3",2,"Partially Furnished","MID","104 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Air Conditioning | Cooker Hob/hood","Tracy Liu C",1130,"Yishun",1.429253,103.8451984,"premise"
1572,"Parc Botannia","Condominium","$1,191,000","$1,229 psf (Built-up)",NA,"Condominium","Fernvale Green Pte Ltd","10 Fernvale Street (797390)","D28 - Seletar / Yio Chu Kang","3",1,NA,NA,"969 sqft (Built-up)","LEASEHOLD/99 years",735,"Park/greenery View | Swimming Pool View | Air Conditioning | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe | Maidsroom","Maggie Deng",140,NA,1.3982639,103.880279,"street_address"
1573,"Punggol Field","HDB 5 Rooms","$399,999","$338 psf (Built-up)",2003,"Improved",NA,"110D Punggol Field (824110)",NA,"3",NA,NA,NA,"110 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Corner Unit | Cooker Hob/hood | Air Conditioning | Water Heater","Theresa Soon W C",250,"Punggol",1.395298,103.910458,"street_address"
1574,"Jalan Membina","HDB 4 Rooms","$830,000","$857 psf (Built-up)",2003,"Model A",NA,"22 Jalan Membina (166022)",NA,"3",2,"Fully Furnished",NA,"90 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Corner Unit | Air Conditioning | Water Heater","Theresa Ng",160,"Bukit Merah",1.285275,103.8261998,"premise"
1575,"MARSILING RISE","HDB 4 Rooms","$308,000","$292 psf (Built-up)",1985,"New Generation",NA,"123 MARSILING RISE (730123)",NA,"3",NA,NA,NA,"98 sqm (Built-up)","LEASEHOLD/99 years",NA,"Original Condition | Air Conditioning | Water Heater","Laura Chan",850,"Woodlands",1.4391816,103.7791113,"premise"
1576,"Tree House","Condominium","$850,000","$1,179 psf (Built-up)",2013,"Condominium","Chestnut Avenue Developments Pte Ltd","60 Chestnut Avenue (679517)","D23 - Dairy Farm / Bukit Panjang / Choa Chu Kang","2",2,"Partially Furnished","MID","721 sqft (Built-up)","LEASEHOLD/99 years",429,"Corner Unit | Air Conditioning","Freddie Xu",880,NA,1.369833,103.77604,"street_address"
1577,"Boathouse Residences","Condominium","$1,050,000","$1,049 psf (Built-up)",2015,"Condominium","Easthouse Propperties Pte Ltd","21 Upper Serangoon View (534048)","D19 - Hougang / Punggol / Sengkang","3",NA,NA,NA,"1,001 sqft (Built-up)","LEASEHOLD/99 years",493,"Hammock Island | Children's Play Area | Aqua Foot Reflexology | 50M Lap Pool And Sun Decks | Gym - Boathouse Alike Floating By The Pool | Spa Pool With Pavilion | Recreational Tennis Court | Bbq | Boatshed Spa Pools | Aqua Gym | Multi-purposes Room | River Pavilion With Teppanyaki | Fitness Corner | Clubhouse - Boathouse Alike Floating By The Pool | Wading Pool With Slide | Garden Walkways | Meandering Pool | Courtyard Gardens | Corner Unit | Cooker Hob/hood | Air Conditioning | Balcony","Freddie Xu",910,NA,1.3738785,103.9017878,"street_address"
1578,"Northwave","Condominium","$876,000","$783 psf (Built-up)",NA,"Executive Condominium","Hao Yuan (Woodlands) Pte Ltd","103 Woodlands View (737709)","D25 - Admiralty / Woodlands","3",3,"Not Furnished","LOW","1,119 sqft (Built-up)","LEASEHOLD/99 years",358,"Renovated | Swimming Pool View | Air Conditioning | Balcony","Prescealla Ong M L",1160,NA,1.3828123,103.7593558,"street_address"
1579,"Jurong East Street 13","HDB 4 Rooms","$460,000","$441 psf (Built-up)",1982,"New Generation",NA,"108 Jurong East Street 13 (600108)",NA,"3",2,"Partially Furnished","MID","97 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Air Conditioning | Water Heater | Cooker Hob/hood | Walk-in-wardrobe","Ben Wong Www.91881810.com",610,"Jurong East",1.3382997,103.737085,"premise"
1580,"Marina One Residences","Apartment","$3,997,150","$2,597 psf (Built-up)",2017,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3",NA,NA,"HIGH","1,539 sqft (Built-up)","LEASEHOLD/99 years",1042,"Park/greenery View | Renovated | Air Conditioning","Prescealla Ong M L",140,NA,1.280042,103.855291,"establishment"
1581,"Marina One Residences","Apartment","$5,682,000","$2,778 psf (Built-up)",2018,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","4+1",3,NA,"HIGH","2,045 sqft (Built-up)","LEASEHOLD/99 years",1042,"Renovated | Park/greenery View | Air Conditioning","Prescealla Ong M L",140,NA,1.280042,103.855291,"establishment"
1582,"Gem Residences","Condominium","$1,842,000","$1,746 psf (Built-up)",2020,"Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","3",2,"Partially Furnished","HIGH","1,055 sqft (Built-up)","LEASEHOLD/99 years",578,"Renovated | Park/greenery View | City View | Air Conditioning","Prescealla Ong M L",570,NA,1.3336887,103.8531666,"street_address"
1583,"Kingsford Waterbay","Apartment","$940,000","$1,386 psf (Built-up)",2018,"Apartment","Kingsford Property Development Pte Ltd","84 Upper Serangoon View (533876)","D19 - Hougang / Punggol / Sengkang","2",2,"Partially Furnished",NA,"678 sqft (Built-up)","LEASEHOLD/99 years",1165,"Sea View | Park/greenery View | Swimming Pool View | Air Conditioning | Water Heater | Cooker Hob/hood | Balcony","Steve Ong",900,NA,1.3738557,103.9022723,"street_address"
1584,"Jurong West Street 52","HDB 5 Rooms","$500,000","$394 psf (Built-up)",NA,"Model A",NA,"529 Jurong West Street 52  640529 (640529)",NA,"3",NA,NA,NA,"118 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Renovated | Cooker Hob/hood | Water Heater","Ken Yew",710,"Jurong West",1.3484367,103.716156,"premise"
1585,"Admiralty Drive","HDB Executive","$475,000","$322 psf (Built-up)",2001,"Executive Apartment",NA,"469A Admiralty Drive (751469)",NA,"3",2,"Fully Furnished","HIGH","137 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Renovated | Air Conditioning | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Justina Seet Siew Eng",710,"Sembawang",1.4500078,103.8137162,"street_address"
1586,"Woodlands Drive 50","HDB 5 Rooms","$468,000","$369 psf (Built-up)",1997,"Improved",NA,"897B Woodlands Drive 50 (731897)",NA,"3",NA,NA,NA,"118 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Air Conditioning | Cooker Hob/hood","Lau Puay Kiang",850,"Woodlands",1.43602,103.794126,"street_address"
1587,"Boon Lay Drive","HDB 5 Rooms","$440,000","$338 psf (Built-up)",1976,"Premium Apartment",NA,"200 Boon Lay Drive (640200)",NA,"3",NA,NA,NA,"121 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | City View | Original Condition | Park/greenery View | Air Conditioning | Water Heater | Balcony","Jasmine Tan Q L",700,"Jurong West",1.3431511,103.7148665,"premise"
1588,"Cashew Road","HDB Executive","$728,000","$463 psf (Built-up)",1988,"Maisonette",NA,"135 Cashew Road (670135)",NA,"4",2,"Fully Furnished","HIGH","146 sqm (Built-up)","LEASEHOLD/99 years",NA,"Park/greenery View | Air Conditioning | Water Heater","Lizzy Zhou",350,"Bukit Panjang",1.3740347,103.7688807,"premise"
1589,"3 @ Sandilands","Apartment","$1,630,000","$886 psf (Built-up)",2010,"Apartment","I Development Pte Ltd","3 Sandilands Road (546066)","D19 - Hougang / Punggol / Sengkang","3",NA,NA,NA,"1,840 sqft (Built-up)","999 years",20,"Renovated | Air Conditioning","Louis Neo M E",720,NA,1.3615014,103.8781403,"street_address"
1590,"Jurong West Central 1","HDB 5 Rooms","$548,000","$414 psf (Built-up)",1998,"Model A",NA,"694 Jurong West Central 1 (640694)",NA,"4",2,"Fully Furnished",NA,"123 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Cooker Hob/hood | Water Heater | Balcony","Kk Koh",520,"Jurong West",1.3433982,103.7068805,"premise"
1591,"West Coast Road","HDB 4 Rooms","$415,000","$415 psf (Built-up)",1980,"Model A",NA,"701 West Coast Road (120701)",NA,"3",NA,NA,NA,"93 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Air Conditioning | Cooker Hob/hood | Water Heater","Alex Cher",940,"Clementi",1.3076532,103.7612762,"premise"
1592,"Dunearn Estate","Detached","$10,500,000","$2,089 psf (Land) /$2,625 psf (Built-up)",NA,"Detached",NA,"Merryn Road","D11 - Newton / Novena","6",NA,NA,NA,"5,024 sqft (Land) / 4,000 sqft (Built-up)","FREEHOLD",NA,"Corner Unit | Air Conditioning | Cooker Hob/hood | Bathtub | Water Heater | Garage | Maidsroom | Walk-in-wardrobe","Stephen Lee",850,NA,1.3263411,103.8246563,"route"
1593,"Luxus Hills","Terrace","$2,900,000","$1,795 psf (Land) /$853 psf (Built-up)",2011,"N.a","Singapore United Estates Pte Ltd","Seletar Green Walk","D28 - Seletar / Yio Chu Kang","5+1",4,"Partially Furnished",NA,"1,615 sqft (Land) / 3,400 sqft (Built-up)","999 years",78,"Air Conditioning | Bathtub | Intercom | Water Heater | Cooker Hob/hood | Maidsroom | Garage","Stephen Lee",1310,NA,1.3802045,103.8747227,"route"
1594,"Chuan Drive","Terrace","$2,680,000","$725 psf (Land) /$536 psf (Built-up)",2003,"Corner Terrace",NA,"Chuan Drive","D19 - Hougang / Punggol / Sengkang","9",NA,NA,NA,"3,695 sqft (Land) / 5,000 sqft (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Private Garden","Vivien Ong",1020,NA,1.3603904,103.8668733,"route"
1595,"Clementi Avenue 5","HDB 4 Rooms","$488,888","$494 psf (Built-up)",1979,"Model A",NA,"347 Clementi Avenue 5 (120347)",NA,"3",2,NA,"HIGH","92 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Original Condition | Water Heater | Cooker Hob/hood | Air Conditioning","Joanne Lim",670,"Clementi",1.3172013,103.7706031,"street_address"
1596,"Bayville Condo","Condominium","$1,350,000","$1,072 psf (Built-up)",1996,"Condominium","Glory Development Pte Ltd","42 South Buona Vista Road (118166)","D5 - Buona Vista / West Coast / Clementi New Town","3",2,"Fully Furnished",NA,"1,259 sqft (Built-up)","FREEHOLD",63,"Gymnasium | Securities | Barbecue Area | Club House | Landscaped Garden | Car Park | Play Ground | Wadpool | Multi Purpose Hall | Swimming Pool | Corner Unit | Air Conditioning | Water Heater | Cooker Hob/hood | Flooring For Bedroom | Flooring For Living/dining | Maidsroom | Outdoor Patio","Joanne Gan",610,NA,1.281177,103.787758,"street_address"
1597,"Pasir Ris Beach Park","Terrace","$1,950,000","$487 psf (Land) /$816 psf (Built-up)",1976,"Others",NA,"Pasir Ris Terrace","D18 - Pasir Ris / Tampines","5",3,"Fully Furnished","GROUND","4,000 sqft (Land) / 2,390 sqft (Built-up)","LEASEHOLD/99 years",120,"Renovated | Air Conditioning | Water Heater | Cooker Hob/hood","Adrian Lim",1010,NA,1.3821014,103.9439642,"route"
1598,"Sea Esta","Condominium","$910,000","$1,007 psf (Built-up)",2015,"Condominium","Hoi Hup Sunway Pasir Ris Pte Ltd","20 Pasir Ris Link (518157)","D18 - Pasir Ris / Tampines","3",NA,NA,NA,"904 sqft (Built-up)","LEASEHOLD/99 years",376,"Bin Centre And Substation | Sun Deck | Entrance Plaza | Tennis Hard Court With Arcylic Coating System | Family Pool | Pedestrian Side Gate | Sunset Pool With Jacuzzi Seats | Bbq Corner | Adventure Playground | Taichi Lawn | Clubhouse | Water Jets Platform | 50M Lap Pool | Guard House | Pavilion | Fitness Station | Management Office | Bio-pond | Jogging Track | Children's Fun Pool | Reading Corner | Fragrance Garden | Main Drop-off | Children Playground | Swimming Pool View | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Rosalind Teo",1310,NA,1.3772383,103.9602337,"street_address"
1599,"Marina Collection","Condominium","$4,200,000","$2,240 psf (Built-up)",2011,"Condominium","Lippo Marina Collection Pte Ltd","15 Cove Drive (098328)","D4 - Sentosa / Harbourfront","3+2",2,"Partially Furnished","HIGH","1,875 sqft (Built-up)","LEASEHOLD/99 years",124,"Wading Pool | Playground | Outdoor Terrace | Entry Driveway | Bbq Terrace | Docking Station | Pool Deck | Jacuzzi | Garden Plaza | Clubhouse | Lap Pool | Lawn | Leisure Pool | Sea View | Park/greenery View | Swimming Pool View | Air Conditioning | Water Heater | Bathtub | Hairdryer | Cooker Hob/hood | Intercom | Private Lift | Balcony | Garage | Outdoor Patio | Roof Terrace | Walk-in-wardrobe | Bombshelter | Maidsroom | Terrace | Private Garden","Nancy Hawkes",NA,NA,1.242782,103.839292,"street_address"
1600,"Meadows @ Peirce","Condominium","$1,500,000","$1,256 psf (Built-up)",2012,"Condominium","UOL Development Pte Ltd","632 Upper Thomson Road (787133)","D26 - Mandai / Upper Thomson","4",2,"Partially Furnished","LOW","1,194 sqft (Built-up)","FREEHOLD",479,"Corner Unit | Park/greenery View | Renovated | Bathtub | Intercom | Hairdryer | Water Heater","Elaine Ang",1030,NA,1.381257,103.827048,"street_address"
1601,"Waterscape at Cavenagh","Apartment","$2,600,000","$1,887 psf (Built-up)",2014,"Apartment","Cavenagh Properties Pte Ltd","65C Cavenagh Road (229631)","D9 - Orchard / River Valley","3+1",3,"Partially Furnished",NA,"1,378 sqft (Built-up)","FREEHOLD",200,"Clubhouse | Fitness Corner | Jogging Track | Function Room | Steam Bath | Lounge | Swimming Pool | Playground | Gymnasium Room | Bbq Pits | Swimming Pool View | Renovated | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony | Outdoor Patio","Rosemary Lim",540,NA,1.3043029,103.841341,"street_address"
1602,"Seletar Park Residence","Condominium","$1,100,000","$1,022 psf (Built-up)",NA,"Condominium","Asplenium Land Pte Ltd","21 Seletar Road (807021)","D28 - Seletar / Yio Chu Kang","2",2,"Partially Furnished",NA,"1,076 sqft (Built-up)","LEASEHOLD/99 years",276,"Renovated | Air Conditioning | Corner Unit | Water Heater | Cooker Hob/hood | Air Conditioning | Outdoor Patio","Shamir W.",1000,NA,1.3861628,103.8697476,"street_address"
1603,"Citylights","Condominium","$1,450,000","$1,624 psf (Built-up)",2007,"Condominium","Woodsvale Land Pte Ltd","86 Jellicoe Road (208745)","D8 - Farrer Park / Serangoon Rd","2+1",2,"Fully Furnished","HIGH","893 sqft (Built-up)","LEASEHOLD/99 years",600,"Gymnasium | Club House | Fitness Area | Tennis Court | Securities | Swimming Pool | Jacuzzi | Barbecue Area | Wadpool | Car Park | Corner Unit | City View | Swimming Pool View | Original Condition | Sea View | Park/greenery View | Renovated | Air Conditioning | Cooker Hob/hood | Intercom | Water Heater | Flooring For Living/dining | Air-conditioning | Wardrobe | Flooring For Bedroom | Kitchen | Bombshelter","Grace Chan",230,NA,1.309416,103.863189,"street_address"
1604,"Leedon Residence","Condominium","$9,260,000","$1,969 psf (Built-up)",2015,"Condominium","Leedon Residence Development Pte Ltd","18 Leedon Heights (267938)","D10 - Tanglin / Holland / Bukit Timah","5",5,NA,NA,"4,704 sqft (Built-up)","FREEHOLD",381,"Tree Avenue | Water Features | Lap Pool | The Gym | Jacuzzi | Recreational Garden | Tree Grove | The Grill | Tennis Courts | Kids’ Pool | Arrival Court | The Club | Reflective Pool | The Dining Lounge | Pavillions | The Forest Walk | Discovery Playground | Fitness Corner | Pool Cabanas | Bathtub | Air Conditioning | Cooker Hob/hood | Private Pool | Intercom | Water Heater | Balcony | Walk-in-wardrobe | Outdoor Patio","Irene Lee",660,NA,1.313474,103.802226,"street_address"
1605,"Seletar Hills Estate","Terrace","$3,098,888","$1,434 psf (Land) /$815 psf (Built-up)",2013,"Inter Terrace","BUKIT SEMABWANG ESTATES LIMITED","Jalan Ketumbit","D28 - Seletar / Yio Chu Kang","4",5,"Partially Furnished","GROUND","2,161 sqft (Land) / 3,800 sqft (Built-up)","999 years",NA,"Renovated | Bathtub | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Outdoor Patio | Bombshelter | Balcony | Maidsroom | Walk-in-wardrobe | Terrace | Roof Terrace","Sarah Lim",790,NA,1.3847407,103.8743941,"route"
1606,"Riversails","Condominium","$1,600,000","$1,170 psf (Built-up)",NA,"Condominium","Benefit Investments Pte. Ltd.","12 Upper Serangoon Crescent (534030)","D19 - Hougang / Punggol / Sengkang","4",3,"Fully Furnished","HIGH","1,367 sqft (Built-up)","LEASEHOLD/99 years",920,"Jogging Track | Discovery Pavilion | Aroma-peutic Garden | Flying Fox | Outdoor Fitness | Mini Theater And Stage Of Tales | Bar Counter | Audio Visual Room | Dip Pool | Patio Living Terrace | Reading Room | Yoga Pod | Kinetic Water Feature | Lagoon Spa | Treehouse Playgroud | Timber Board Walk | Aqua Deck | Climbing Cubes | Sun Deck | Outdoor Breafast Patio | Lawn Hammocks | Cabanas | Tea Party Lounge | Courtyard Water Feature And Sculpture | Palm Garden | Party Deck | Island Swirl Spa | Gymnasium | Rain Garden | Kids' Spa | Island Planting | Dance Deck | 50 M Lap Pool | Paddle Bpats | Children's Project Area | Start Gazing Lawn | Bbq Pod | Water Swings | Children Play Area | Floating Pontoon Decks | Wi-fi Pod | Water Garden | Stream Of Stars | Green Trellis | Peak Pavilion | Koi Pond | Jungle Gym | Bird Spotting And Viewing Deck | Function Room | Outdoor Dining | Bbq | Camping Lawn | Outdoor Living Deck | Table Tennis Room | Reading Corner | Outdoor Dining Lounge | Play Pool | Grand Pavilion | Water Hammocks | Patio Dining | Outdoor Dym | Floating Pavilion | Miniature Golf | Tennis Court | Interactive Water Feature | Reflexology Walk | Renovated | Air Conditioning | Water Heater | Cooker Hob/hood","Melvin Lim",530,NA,1.3778768,103.9022478,"street_address"
1607,"Centra Residence","Apartment","$1,288,000","$1,161 psf (Built-up)",2014,"Apartment","Trident Development Pte Ltd","8 Lorong 7 Geylang (388792)","D14 - Eunos / Geylang / Paya Lebar","2",NA,NA,NA,"1,109 sqft (Built-up)","FREEHOLD",78,"Corner Unit | Air Conditioning | Cooker Hob/hood | Intercom | Jacuzzi | Water Heater","Li Yulan",570,NA,1.3128701,103.8759131,"street_address"
1608,"eCO","Condominium","$1,480,000","$1,617 psf (Built-up)",2017,"Condominium","Far East Organization, Frasers Centrepoint and Sekisui House Ltd","277 Bedok South Avenue 3 (465457)","D16 - Bedok / Upper East Coast","2",2,NA,"MID","915 sqft (Built-up)","LEASEHOLD/99 years",752,"Original Condition | Park/greenery View | Air Conditioning | Cooker Hob/hood | Intercom | Balcony | Maidsroom | Walk-in-wardrobe","Angelin Loh",430,NA,1.3240678,103.9444423,"street_address"
1609,"Ang Mo Kio Avenue 4","HDB 3 Rooms","$290,000","$396 psf (Built-up)",1981,"New Generation",NA,"155 Ang Mo Kio Avenue 4 (560155)",NA,"2",NA,NA,NA,"68 sqm (Built-up)","LEASEHOLD/99 years",NA,"Air Conditioning | Cooker Hob/hood","Paul Wong",540,"Ang Mo Kio",1.3760131,103.8399831,"street_address"
1610,"Bukit Batok Street 24","HDB 4 Rooms","$438,000","$395 psf (Built-up)",1998,"Model A",NA,"290A Bukit Batok Street 24 (652290)",NA,"3",NA,NA,NA,"103 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Renovated | Air Conditioning | Cooker Hob/hood","Josephine Chua",1020,"Bukit Batok",1.3431428,103.7564762,"street_address"
1611,"Choa Chu Kang Drive","HDB 5 Rooms","$395,000","$334 psf (Built-up)",2002,"Improved",NA,"688B Choa Chu Kang Drive (682688)",NA,"3",2,"Partially Furnished",NA,"110 sqm (Built-up)","LEASEHOLD/99 years",NA,"Park/greenery View | Air Conditioning | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Wenna Song",720,"Choa Chu Kang",1.403528,103.750123,"street_address"
1612,"Changi Green","Condominium","$1,350,000","$1,110 psf (Built-up)",1998,"Condominium","Allgreen Properties Ltd","712 Upper Changi Road East (486842)","D16 - Bedok / Upper East Coast","3",2,"Fully Furnished","LOW","1,216 sqft (Built-up)","FREEHOLD",256,"Wadpool | Club House | Barbecue Area | Car Park | Swimming Pool | Fitness Area | Play Ground | Gymnasium | Tennis Court | Securities | Renovated | Cooker Hob/hood | Water Heater | Air Conditioning | Flooring For Living/dining | Air-conditioning | Flooring For Bedroom | Kitchen | Wardrobe","Melvin Lim",420,NA,1.344681,103.963857,"street_address"
1613,"Jurong West Street 42","HDB 4 Rooms","$330,000","$298 psf (Built-up)",1985,NA,NA,"545 Jurong West Street 42 (640545)",NA,"3",2,NA,"HIGH","103 sqm (Built-up)","LEASEHOLD/30 years",NA,"Original Condition | Park/greenery View | Cooker Hob/hood","Riyan Ria",1100,"Jurong West",1.3523615,103.7152963,"premise"
1614,"The Trilinq","Condominium","$898,000","$1,669 psf (Built-up)",NA,"Condominium","Clementi Development Pte Ltd","28 Jalan Lempeng (128807)","D5 - Buona Vista / West Coast / Clementi New Town","1",1,"Partially Furnished",NA,"538 sqft (Built-up)","LEASEHOLD/99 years",755,"Swimming Pool View | Air Conditioning | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Jeffrey Yam",500,NA,1.3181144,103.762091,"premise"
1615,"St. Martin Residence","Condominium","$1,500,000","$2,618 psf (Built-up)",2001,"Condominium","Premier Properties Pte Ltd (Habitat Properties Group)","2 St. Martins Drive (257989)","D10 - Tanglin / Holland / Bukit Timah","1",1,NA,NA,"573 sqft (Built-up)","FREEHOLD",82,"Securities | Landscaped Garden | Car Park | Gymnasium | Swimming Pool | Club House | Corner Unit | Park/greenery View | Renovated | Cooker Hob/hood | Water Heater | Intercom | Air Conditioning","Yan Lim",440,NA,1.3060198,103.8244909,"street_address"
